"name[Blue Spice], eatType[coffee shop], area[city centre]"	In the city centre is a coffee shop called Blue Spice.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no], near[All Bar One]"	The Cricketers provides chinese food in the more than £30 price range. It is located in the riverside. It is near All Bar One. Its customer rating is high.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[yes], near[All Bar One]"	The Cricketers provides chinese food in the more than £30 price range. It is located in the riverside. It is near All Bar One. Its customer rating is high.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]"	The Cricketers is an english restaurant near All Bar One in the city centre. It is not kid friendly and has a high customer rating and a price range of £20-25.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]"	The Cricketers is an english restaurant near All Bar One in the city centre. It is kid friendly and has a high customer rating and a price range of £20-25.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[All Bar One]"	The Cricketers is an english restaurant near All Bar One in the riverside area. It has a high customer rating and a price range of £20-25 and is not kid friendly.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[All Bar One]"	The Cricketers is an english restaurant near All Bar One in the riverside area. It is kid friendly and has a high customer rating and a price range of £20-25.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Café Rouge]"	The Cricketers is a cheap english restaurant in the city centre near Café Rouge. It has a customer rating of 5 out of 5 and is not family-friendly.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Café Rouge]"	The Cricketers is a family-friendly english restaurant located near Café Rouge in the city centre. It has a customer rating of 5 out of 5 and a cheap price range.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Café Rouge]"	The Cricketers is a cheap english restaurant near Café Rouge in the riverside area. It has a customer rating of 5 out of 5 and is not family-friendly.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Café Rouge]"	The Cricketers is a family friendly restaurant that serves english food. It is located near Café Rouge in the riverside area. It has a customer rating of 5 out of 5 and is cheap.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[Café Rouge]"	The Cricketers is an english restaurant located in the city centre near the Café Rouge. It is not family-friendly and has an average customer rating. It is cheap.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[Café Rouge]"	The Cricketers is a family-friendly english restaurant located near Café Rouge in the city centre. It has an average customer rating and a cheap price range.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[Café Rouge]"	The Cricketers is an english restaurant near Café Rouge in the riverside area. It is cheap and has an average customer rating. It is not family-friendly.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Café Rouge]"	The Cricketers is an english restaurant near Café Rouge in the riverside area. It is family friendly and has an average customer rating and a cheap price range.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Café Rouge]"	The Cricketers is an english restaurant located near Café Rouge in the city centre. It is not child friendly and has a customer rating of 1 out of 5.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Rouge]"	The Cricketers is an english restaurant near Café Rouge in the city centre. It is child friendly and has a customer rating of 1 out of 5.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Café Rouge]"	The Cricketers is an english restaurant near Café Rouge in the riverside area. It has a high price range and a customer rating of 1 out of 5 and is not child friendly.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Rouge]"	The Cricketers is a child friendly english restaurant located near Café Rouge in the riverside area. It has a high price range and a customer rating of 1 out of 5.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[Café Rouge]"	The Cricketers is an english restaurant located near Café Rouge in the city centre. It has an average customer rating and is not child friendly.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[Café Rouge]"	The Cricketers is an english restaurant located near Café Rouge in the city centre. It is child friendly and has an average customer rating.
"name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[Café Rouge]"	The Cricketers is a restaurant providing english food in the high price range. It is located in the riverside. It is near Café Rouge. Its customer rating is average.
"name[The Mill], eatType[pub], food[English], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The Mill is a child friendly pub near Raja Indian Cuisine in the riverside area. It serves english food and has a high price range.
"name[The Mill], eatType[pub], food[English], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	The Mill is an english pub near Raja Indian Cuisine in the city centre. It is not family-friendly and has a price range of less than £20.
"name[The Mill], eatType[pub], food[English], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The Mill is a family-friendly pub in the city centre near Raja Indian Cuisine. It serves english food for less than £20.
"name[The Mill], eatType[pub], food[English], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	The Mill is an english pub near Raja Indian Cuisine in the riverside area. It is not family-friendly and has a price range of less than £20.
"name[The Mill], eatType[pub], food[English], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The Mill is a family friendly pub near Raja Indian Cuisine in the riverside area. It serves english food for less than £20.
"name[The Mill], eatType[pub], food[English], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	The Mill is an english pub near Raja Indian Cuisine in the city centre. It is not kid friendly and has a moderate price range.
"name[The Mill], eatType[pub], food[English], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The Mill is an english pub in the city centre near Raja Indian Cuisine. It is kid friendly and has a moderate price range.
"name[The Mill], eatType[pub], food[English], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	The Mill is an english pub near Raja Indian Cuisine in the riverside area. It is not kid friendly and has a moderate price range.
"name[The Mill], eatType[pub], food[English], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The Mill is a kid friendly pub in the riverside area near Raja Indian Cuisine. It serves english food and has a moderate price range.
"name[The Mill], eatType[pub], food[English], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The Mill is an english pub near Raja Indian Cuisine in the riverside area. It is child friendly and has a price range of more than £30.
"name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The Mill is a kid friendly fast food pub near Raja Indian Cuisine in the riverside area with a price range of £20-25.
"name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[Café Rouge]"	The Mill is a fast food pub in the city centre near Café Rouge. It is not kid friendly and has a high customer rating and a price range of £20-25.
"name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[Café Rouge]"	The Mill is a kid-friendly fast food pub in the city centre near Café Rouge. It has a high customer rating and a price range of £20-25.
"name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[Café Rouge]"	The Mill is a highly rated fast food pub in the riverside area near Café Rouge. It is not kid friendly and has a price range of £20-25.
"name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Café Rouge]"	The Mill is a fast food pub in the riverside area near Café Rouge. It is kid friendly and has a high customer rating and a price range of £20-25.
"name[The Mill], eatType[pub], food[Fast food], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[Café Sicilia]"	The Mill is a fast food pub in the riverside area near Café Sicilia. It is kid friendly and has a high customer rating and a price range of £20-25.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	"The Mill is a cheap, family friendly fast food pub near Raja Indian Cuisine in the riverside area."
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]"	The Mill is a cheap fast food pub in the city centre near Café Sicilia. It is not family-friendly and has a customer rating of 5 out of 5.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]"	The Mill is a cheap fast food pub in the city centre near Café Sicilia. It is family-friendly and has a customer rating of 5 out of 5.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]"	The Mill is a cheap fast food pub in riverside near Café Sicilia. It is not family-friendly and has a customer rating of 5 out of 5.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]"	The Mill is a cheap fast food pub near Café Sicilia in the riverside area. It has a customer rating of 5 out of 5.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[Café Sicilia]"	The Mill is a cheap fast food pub in the city centre near Café Sicilia. It is not family-friendly and has an average customer rating.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[Café Sicilia]"	The Mill is a cheap fast food pub in the city centre near Café Sicilia. It is family-friendly and has an average customer rating.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[Café Sicilia]"	The Mill is a cheap fast food pub in the riverside area near Café Sicilia. It is not family-friendly and has an average customer rating.
"name[The Mill], eatType[pub], food[Fast food], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[Café Sicilia]"	"The Mill is a cheap, family friendly, fast food pub near Café Sicilia in the riverside area with an average customer rating."
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]"	The Mill is a fast food pub in the city centre near Café Sicilia. It is not child friendly and has a high price range and a customer rating of 1 out of 5.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]"	The Mill is a child-friendly fast food pub in the city centre near Café Sicilia. It has a customer rating of 1 out of 5 and a high price range.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]"	The Mill is a fast food pub near Café Sicilia in the riverside area. It is not child friendly and has a customer rating of 1 out of 5.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]"	The Mill is a fast food pub near Café Sicilia in the riverside area. It is child friendly and has a customer rating of 1 out of 5.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[Café Sicilia]"	The Mill is a fast food pub near Café Sicilia in the city centre. It is not child friendly and has an average customer rating.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[Café Sicilia]"	The Mill is a fast food pub in the city centre near Café Sicilia. It is child friendly and has an average customer rating and a high price range.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[Café Sicilia]"	The Mill is a fast food pub near Café Sicilia in the riverside area. It is not child friendly and has an average customer rating.
"name[The Mill], eatType[pub], food[Fast food], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[Café Sicilia]"	The Mill is a fast food pub near Café Sicilia in the riverside area. It is child friendly and has an average customer rating.
"name[The Mill], eatType[pub], food[Fast food], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[Café Sicilia]"	The Mill is a fast food pub in the city centre near Café Sicilia. It is not family-friendly and has a low customer rating and a price range of less than £20.
"name[The Mill], eatType[pub], food[Fast food], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[Café Sicilia]"	The Mill is a family-friendly fast food pub in the city centre near Café Sicilia with a low customer rating with a price range less than £20.
"name[The Mill], eatType[pub], food[Fast food], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[Café Sicilia]"	The Mill is a fast food pub near Café Sicilia in the riverside area. It is not family-friendly and has a low customer rating and a price range of less than £20.
"name[The Mill], eatType[pub], food[Fast food], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[Café Sicilia]"	The Mill is a family friendly fast food pub near Café Sicilia in the riverside area with a low customer rating with a price range of less than £20.
"name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]"	The Mill is a pub providing fast food in the moderate price range. It is located in the city centre near Café Sicilia. It has a customer rating of 1 out of 5 and is not child friendly.
"name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]"	The Mill is a fast food pub in the city centre near Café Sicilia. It has a moderate price range and a customer rating of 1 out of 5 and is kid friendly.
"name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]"	The Mill is a pub providing fast food in the moderate price range. It is located in the riverside near Café Sicilia. Its customer rating is 1 out of 5.
"name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]"	The Mill is a fast food pub in the riverside area near Café Sicilia. It is kid friendly and has a customer rating of 1 out of 5 and a moderate price range.
"name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]"	The Mill is a fast food pub in the moderate price range. It is located in the city centre near Café Sicilia. It is not kid friendly and has a customer rating of 3 out of 5.
"name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]"	The Mill is a moderately priced fast food pub in the city centre near Café Sicilia. It has a customer rating of 3 out of 5 and is kid friendly.
"name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]"	The Mill is a fast food pub near Café Sicilia in the riverside area. It is not kid friendly and has a moderate price range and a customer rating of 3 out of 5.
"name[The Mill], eatType[pub], food[Fast food], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]"	The Mill is a fast food pub in the riverside area near Café Sicilia. It is kid friendly and has a customer rating of 3 out of 5 and a moderate price range.
"name[The Mill], eatType[restaurant], food[English], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The Mill is a child friendly english restaurant near Raja Indian Cuisine in the riverside area with a high price range.
"name[The Mill], eatType[restaurant], food[English], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[Café Rouge]"	The Mill is an english restaurant near Café Rouge in the riverside area. It is child friendly and has an average customer rating and a high price range.
"name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	The Mill is an english restaurant near Raja Indian Cuisine in the city centre. It is not family-friendly and has a price range of less than £20.
"name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The Mill is a family-friendly english restaurant located near Raja Indian Cuisine in the city centre. The price range is less than £20.
"name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	The Mill is an english restaurant near Raja Indian Cuisine in the riverside area. It is not family-friendly and has a price range of less than £20.
"name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The Mill is a family friendly english restaurant near Raja Indian Cuisine in the riverside area. The price range is less than £20.
"name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[Café Rouge]"	The Mill is an english restaurant located near Café Rouge in the city centre. It has a low customer rating and is not family-friendly. The price range is less than £20.
"name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[Café Rouge]"	The Mill is a family-friendly english restaurant located near Café Rouge in the city centre. It has a low customer rating and a price range of less than £20.
"name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[Café Rouge]"	The Mill is an english restaurant near Café Rouge in the riverside area. It has a low customer rating and is not family-friendly. The price range is less than £20.
"name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[Café Rouge]"	The Mill is a family friendly restaurant that serves english food. It is located near Café Rouge in the riverside area. It has a low customer rating and a price range of less than £20.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	The Mill is a moderately priced english restaurant in the city centre near Raja Indian Cuisine. It is not kid friendly.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The Mill is a moderately priced english restaurant in the city centre near Raja Indian Cuisine. It is kid friendly.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	The Mill is a moderately priced english restaurant near Raja Indian Cuisine in the riverside area. It is not kid friendly.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The Mill is a kid friendly english restaurant near Raja Indian Cuisine in the riverside area with a moderate price range.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[Café Rouge]"	The Mill is a moderately priced english restaurant in the city centre near Café Rouge. It is not kid friendly and has a customer rating of 1 out of 5.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[Café Rouge]"	The Mill is a moderately priced english restaurant in the city centre near Café Rouge. It has a customer rating of 1 out of 5 and is kid friendly.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[Café Rouge]"	The Mill is a moderately priced english restaurant in the riverside area near Café Rouge. It is not kid friendly and has a customer rating of 1 out of 5.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[Café Rouge]"	The Mill is a moderately priced english restaurant near Café Rouge in the riverside area. It has a customer rating of 1 out of 5 and is kid friendly.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[Café Rouge]"	The Mill is a moderately priced english restaurant in the city centre near Café Rouge. It is not kid friendly and has a customer rating of 3 out of 5.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[Café Rouge]"	The Mill is a moderately priced english restaurant in the city centre near Café Rouge. It is kid friendly and has a customer rating of 3 out of 5.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[Café Rouge]"	The Mill is an english restaurant near Café Rouge in the riverside area. It is moderately priced and has a customer rating of 3 out of 5. It is not kid friendly.
"name[The Mill], eatType[restaurant], food[English], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Café Rouge]"	The Mill is a moderately priced english restaurant near Café Rouge in the riverside area. It has a customer rating of 3 out of 5 and is kid friendly.
"name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The Mill is a child friendly english restaurant near Raja Indian Cuisine in the riverside area with a price range of more than £30.
"name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no], near[Café Rouge]"	The Mill is an english restaurant located near Café Rouge in the city centre. It is not child friendly and has a high customer rating with a price range of more than £30.
"name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[yes], near[Café Rouge]"	The Mill is an english restaurant near Café Rouge in the city centre. It is child friendly and has a high customer rating with a price range of more than £30.
"name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no], near[Café Rouge]"	The Mill is a highly rated english restaurant near Café Rouge in the riverside area. It is not child friendly and has a price range of more than £30.
"name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[yes], near[Café Rouge]"	The Mill is an english restaurant near Café Rouge in the riverside area. It is child friendly and has a high customer rating with a price range of more than £30.
"name[The Mill], eatType[restaurant], food[Fast food], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The Mill is a kid friendly fast food restaurant near Raja Indian Cuisine in the riverside area with a price range of £20-25.
"name[The Mill], eatType[restaurant], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	"The Mill is a cheap, family friendly fast food restaurant near Raja Indian Cuisine in the riverside area."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	"The Phoenix is a cheap, family friendly fast food pub near Raja Indian Cuisine in the riverside area."
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	The Phoenix is a fast food pub in the city centre near Raja Indian Cuisine. It is not child friendly and has a high price range.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The Phoenix is a child-friendly fast food pub in the city centre near Raja Indian Cuisine. It has a high price range.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	The Phoenix is a fast food pub near Raja Indian Cuisine in the riverside area. It is not child friendly and has a high price range.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The Phoenix is a fast food pub in riverside near Raja Indian Cuisine. It is child friendly and has a high price range.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	The Phoenix is a fast food pub in the city centre near Raja Indian Cuisine. It is not family-friendly and has a price range of less than £20.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The Phoenix is a family-friendly fast food pub in the city centre near Raja Indian Cuisine with a price range less than £20.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	The Phoenix is a fast food pub near Raja Indian Cuisine in the riverside area. It is not family-friendly and has a price range of less than £20.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The Phoenix is a family friendly fast food pub near Raja Indian Cuisine in the riverside area with a price range less than £20.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	The Phoenix is a moderately priced fast food pub in the city centre near Raja Indian Cuisine. It is not kid friendly.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	The Phoenix is a moderately priced fast food pub in the city centre near Raja Indian Cuisine. It is kid friendly.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	The Phoenix is a fast food pub near Raja Indian Cuisine in the riverside area. It is not kid friendly and has a moderate price range.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The Phoenix is a fast food pub in the riverside area near Raja Indian Cuisine. It is kid friendly and has a moderate price range.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]"	The Phoenix is a fast food pub in the riverside area near Café Sicilia. It is kid friendly and has a customer rating of 3 out of 5 and a moderate price range.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The Phoenix is a fast food pub near Raja Indian Cuisine in the riverside area. It is child friendly and has a price range of more than £30.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no], near[Café Sicilia]"	The Phoenix is a highly rated fast food pub in the city centre near Café Sicilia. It is not child friendly and has a price range of more than £30.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[yes], near[Café Sicilia]"	The Phoenix is a child-friendly fast food pub in the city centre near Café Sicilia. It has a high customer rating and a price range of more than £30.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no], near[Café Sicilia]"	The Phoenix is a fast food pub near Café Sicilia in the riverside area. It is not child friendly and has a high customer rating and a price range of more than £30.
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[yes], near[Café Sicilia]"	The Phoenix is a fast food pub near Café Sicilia in the riverside area. It is child friendly and has a high customer rating and a price range of more than £30.
"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	The Phoenix is a kid friendly pub in the riverside area near Raja Indian Cuisine. It serves french food and has a price range of £20-25.
"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[Café Sicilia]"	The Phoenix is a french pub near Café Sicilia in the city centre. It is not kid friendly and has a customer rating of 3 out of 5 and a price range of £20-25.
"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]"	The Phoenix is a french pub in the city centre near Café Sicilia. It is kid friendly and has a customer rating of 3 out of 5 and a price range of £20-25.
"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[Café Sicilia]"	The Phoenix is a french pub near Café Sicilia in the riverside area. It is not kid friendly and has a customer rating of 3 out of 5 and a price range of £20-25.
"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]"	The Phoenix is a pub that serves french food. It is located near Café Sicilia in the riverside area. It is kid friendly and has a customer rating of 3 out of 5.
"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Crowne Plaza Hotel]"	The Phoenix is a pub that serves french food. It is located near Crowne Plaza Hotel in the riverside area. It is kid friendly and has a customer rating of 3 out of 5.
